TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-14,2026-08-14,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14900.00,14900.00,14900.00,14900.00,14900.00,15120.00,,14882.50,,,1,14900.00,1,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14985.00,15065.00,14912.14,15054.18,15065.00,15035.83,,15045.15,,,96,1437577.97,23,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15000.00,15040.00,14920.01,15035.26,15030.00,15044.28,,15035.26,,,255,3823027.09,39,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15045.00,15045.00,15000.00,15033.00,15033.00,15043.26,,14950.00,,,7,105201.00,5,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14997.00,15000.00,14912.01,14995.27,15000.00,15074.80,,14995.27,,,83,1242123.44,22,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15052.11,15184.00,15050.00,15135.18,15149.10,15191.97,,15144.45,,,257,3876631.16,25,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,14999.00,15044.00,14912.00,15023.84,15044.00,15054.15,,15025.66,,,188,2819266.90,28,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15100.00,15100.00,15100.00,15100.00,15100.00,15100.00,,15100.00,,,1,15100.00,1,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15000.00,15000.00,15000.00,15000.00,15000.00,15039.39,,15000.00,,,11,165000.00,3,F1,1,,,,,
2026-08-14,2026-08-14,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15035.71,15035.71,15035.71,15035.71,15035.71,15035.71,,15035.71,,,2,30071.42,2,F1,1,,,,,
